date,time,building_name,building_type,energy_consumption,solar_generated,solar_used,battery_level,temperature,weather_condition
2026-08-06,00:00:00,Main Block,Academic,6.75,0.0,0.0,63.5,23.0,Partly Cloudy
2026-08-06,00:00:00,Computer Lab,Laboratory,8.36,0.0,0.0,63.2,23.0,Partly Cloudy
2026-08-06,00:00:00,Library,Library,5.71,0.0,0.0,63.7,23.0,Partly Cloudy
2026-08-06,00:00:00,Administration Block,Administrative,5.14,0.0,0.0,63.9,23.0,Partly Cloudy
2026-08-06,00:00:00,Hostel,Residential,14.35,0.0,0.0,61.8,23.0,Partly Cloudy
2026-08-06,02:00:00,Main Block,Academic,4.95,0.0,0.0,62.4,21.9,Partly Cloudy
2026-08-06,02:00:00,Computer Lab,Laboratory,5.8,0.0,0.0,61.9,21.9,Partly Cloudy
2026-08-06,02:00:00,Library,Library,3.95,0.0,0.0,62.8,21.9,Partly Cloudy
2026-08-06,02:00:00,Administration Block,Administrative,3.31,0.0,0.0,63.2,21.9,Partly Cloudy
2026-08-06,02:00:00,Hostel,Residential,14.15,0.0,0.0,58.7,21.9,Partly Cloudy
2026-08-06,04:00:00,Main Block,Academic,4.72,0.0,0.0,61.4,23.2,Partly Cloudy
2026-08-06,04:00:00,Computer Lab,Laboratory,5.59,0.0,0.0,60.7,23.2,Partly Cloudy
2026-08-06,04:00:00,Library,Library,3.86,0.0,0.0,62.0,23.2,Partly Cloudy
2026-08-06,04:00:00,Administration Block,Administrative,3.08,0.0,0.0,62.5,23.2,Partly Cloudy
2026-08-06,04:00:00,Hostel,Residential,12.97,0.0,0.0,55.8,23.2,Partly Cloudy
2026-08-06,06:00:00,Main Block,Academic,6.77,2.81,2.81,60.5,25.2,Partly Cloudy
2026-08-06,06:00:00,Computer Lab,Laboratory,8.45,2.08,2.08,59.3,25.2,Partly Cloudy
2026-08-06,06:00:00,Library,Library,5.76,2.01,2.01,61.2,25.2,Partly Cloudy
2026-08-06,06:00:00,Administration Block,Administrative,5.14,1.74,1.74,61.8,25.2,Partly Cloudy
2026-08-06,06:00:00,Hostel,Residential,35.54,1.49,1.49,48.3,25.2,Partly Cloudy
2026-08-06,08:00:00,Main Block,Academic,23.7,12.2,12.2,58.0,27.9,Partly Cloudy
2026-08-06,08:00:00,Computer Lab,Laboratory,25.97,8.67,8.67,55.5,27.9,Partly Cloudy
2026-08-06,08:00:00,Library,Library,16.42,7.71,7.71,59.3,27.9,Partly Cloudy
2026-08-06,08:00:00,Administration Block,Administrative,15.43,7.18,7.18,60.0,27.9,Partly Cloudy
2026-08-06,08:00:00,Hostel,Residential,41.08,5.76,5.76,40.5,27.9,Partly Cloudy
2026-08-06,10:00:00,Main Block,Academic,34.92,29.95,27.39,59.2,31.5,Partly Cloudy
2026-08-06,10:00:00,Computer Lab,Laboratory,44.21,20.94,20.94,50.4,31.5,Partly Cloudy
2026-08-06,10:00:00,Library,Library,28.9,20.06,20.06,57.4,31.5,Partly Cloudy
2026-08-06,10:00:00,Administration Block,Administrative,25.09,18.09,18.09,58.5,31.5,Partly Cloudy
2026-08-06,10:00:00,Hostel,Residential,18.08,13.67,13.67,39.5,31.5,Partly Cloudy
2026-08-06,12:00:00,Main Block,Academic,32.57,46.12,30.14,66.4,32.9,Partly Cloudy
2026-08-06,12:00:00,Computer Lab,Laboratory,43.74,31.87,31.87,47.8,32.9,Partly Cloudy
2026-08-06,12:00:00,Library,Library,26.65,27.75,21.3,60.3,32.9,Partly Cloudy
2026-08-06,12:00:00,Administration Block,Administrative,24.63,24.27,21.35,59.8,32.9,Partly Cloudy
2026-08-06,12:00:00,Hostel,Residential,20.1,21.26,15.96,41.9,32.9,Partly Cloudy
2026-08-06,14:00:00,Main Block,Academic,39.64,35.62,30.1,68.9,35.2,Partly Cloudy
2026-08-06,14:00:00,Computer Lab,Laboratory,46.39,29.07,29.07,44.0,35.2,Partly Cloudy
2026-08-06,14:00:00,Library,Library,30.71,23.64,23.64,58.7,35.2,Partly Cloudy
2026-08-06,14:00:00,Administration Block,Administrative,30.52,22.27,22.27,58.0,35.2,Partly Cloudy
2026-08-06,14:00:00,Hostel,Residential,19.99,17.58,17.58,41.4,35.2,Partly Cloudy
2026-08-06,16:00:00,Main Block,Academic,36.73,19.37,19.37,65.1,34.3,Partly Cloudy
2026-08-06,16:00:00,Computer Lab,Laboratory,42.81,14.91,14.91,37.9,34.3,Partly Cloudy
2026-08-06,16:00:00,Library,Library,30.78,14.17,14.17,55.0,34.3,Partly Cloudy
